Gene,Coefficient
AFFX-CreX-3_at,-0.011402961201273086
226016_at,-0.00688366516267848
AFFX-hum_alu_at,0.004393250262994349
205767_at,0.004124968397634361
202863_at,-0.004045655101477195
215060_at,0.003882226757585622
222495_at,-0.00353983965675274
206431_x_at,0.0031627007335767463
240787_at,0.0027423783078960235
1561786_at,0.0024814942170624295
224065_at,0.0024331439054276443
1558480_at,0.002416648088189398
243894_at,0.002393251783091974
208746_x_at,-0.0023251829734861652
1559701_s_at,0.0023106198758003197
218274_s_at,0.002219219880498091
215717_s_at,0.0021440890060511805
221445_at,0.0020890723688976034
1556328_at,0.0020166019125195723
229107_at,0.0018226286625854014
1562058_at,0.0018047625863152215
235639_at,0.0017442520578278358
228546_at,0.0017011778461542004
232100_at,0.0016923787864494754
236619_at,0.0016907325071885224
222041_at,0.00166828341060572
215503_at,0.0016595525682980476
220095_at,0.001658003086013073
201468_s_at,0.0016556978273124608
1554006_a_at,0.001649571560215127
218011_at,-0.0015987201361500505
1564932_at,0.0015986009819094207
