Gene,Coefficient
204580_at,-0.16055101316270642
221058_s_at,-0.14884235866610113
207715_at,-0.09940497204935665
220999_s_at,0.05235799781580584
219555_s_at,-0.051095252241342724
208583_x_at,-0.049875347159390356
211614_at,-0.04407147901587706
217962_at,-0.03142574820216185
219104_at,-0.030465792471589464
203935_at,0.017667330822005042
213150_at,0.014935230012107522
206847_s_at,-0.014845224009690502
211339_s_at,0.008374669295625015
204121_at,-0.0021706515229674202
215482_s_at,0.0
215481_s_at,0.0
215480_at,0.0
215483_at,0.0
215479_at,0.0
215478_at,0.0
215477_at,0.0
215476_at,0.0
215475_at,0.0
215474_at,0.0
215473_at,0.0
215472_at,0.0
215471_s_at,0.0
215470_at,0.0
215469_at,0.0
215484_at,0.0
215504_x_at,0.0
215503_at,0.0
