Gene
1552456_a_at
1554241_at
1555237_at
1556009_at
1563845_at
1567628_at
201545_s_at
203781_at
204716_at
204758_s_at
207591_s_at
209197_at
210404_x_at
212337_at
213054_at
213920_at
214149_s_at
214980_at
215421_at
216555_at
222286_at
226925_at
227071_at
228209_at
232235_at
233487_s_at
235965_at
238386_x_at
239403_at
240597_at
241319_at
243807_at
