Gene,Coefficient
207983_s_at,0.08646218758597225
203138_at,0.04478285357680731
201711_x_at,0.038322540768687414
213750_at,-0.03260534542680831
215375_x_at,-0.030016005178424527
216547_at,-0.029136198765751322
217707_x_at,-0.028013834764718207
212885_at,0.023491951317681704
208213_s_at,0.021285804206117646
201326_at,0.019736302103634366
209950_s_at,0.01928642772553621
208113_x_at,-0.018760301018997862
219291_at,0.017717166813213784
206639_x_at,0.013224138767515334
220645_at,0.013125211135328446
200679_x_at,0.010007289027270548
203243_s_at,-0.009906928592001981
217653_x_at,-0.009061711299672247
205048_s_at,0.0071087527505322955
208478_s_at,0.005870835149481984
201947_s_at,0.005014948112584081
212199_at,0.0050135722859033565
221553_at,-0.0038710813088813634
218968_s_at,-0.002839153896776736
217487_x_at,-0.0025415890392573776
215559_at,0.001843605498890677
220841_s_at,0.000990511722987567
211969_at,0.0005391606137890004
221645_s_at,0.000436938374194726
202419_at,-0.0003886844396500101
214584_x_at,0.0003589639541616797
209389_x_at,7.380647173219148e-05
